source,license,layer,filename,relative_path,duration_seconds,sample_rate,channels,url,note,original_path
Freesound,Verificar licença na página individual antes de runtime,ball_dribble,788268__amsaenz03__soccer-ball-kick-dribble-in-grass.wav,assets/sounds/candidates/freesound/788268__amsaenz03__soccer-ball-kick-dribble-in-grass.wav,43.64,48000,1,https://freesound.org/s/788268/,"chute/drible na grama, candidato para bola com vida",/Users/eventanilha/Downloads/audio-game/788268__amsaenz03__soccer-ball-kick-dribble-in-grass.wav
Freesound,Verificar licença na página individual antes de runtime,chant,417783__garuda1982__soccer-fans-vocals-field-recording-with-zoom-h2n.wav,assets/sounds/candidates/freesound/417783__garuda1982__soccer-fans-vocals-field-recording-with-zoom-h2n.wav,18.42,96000,2,https://freesound.org/s/417783/,"vocais de torcida em campo, candidato para chant",/Users/eventanilha/Downloads/audio-game/417783__garuda1982__soccer-fans-vocals-field-recording-with-zoom-h2n.wav
Freesound,Verificar licença na página individual antes de runtime,crowd_reaction,268932__icmusic__crowd-reaction-at-ice-hockey-match.wav,assets/sounds/candidates/freesound/268932__icmusic__crowd-reaction-at-ice-hockey-match.wav,225.71,48000,2,https://freesound.org/s/268932/,"reacao forte, usar se nao parecer hockey demais",/Users/eventanilha/Downloads/audio-game/268932__icmusic__crowd-reaction-at-ice-hockey-match.wav
Freesound,Creative Commons 0 confirmado em 2026-05-17,kick,555042__bittermelonheart__soccer-ball-kick.wav,assets/sounds/candidates/freesound/555042__bittermelonheart__soccer-ball-kick.wav,0.74,96000,2,https://freesound.org/s/555042/,chute seco de bola,/Users/eventanilha/Downloads/audio-game/555042__bittermelonheart__soccer-ball-kick.wav
Freesound,Verificar licença na página individual antes de runtime,stadium_ambience,274516__stomachache__stadium-crowd.wav,assets/sounds/candidates/freesound/274516__stomachache__stadium-crowd.wav,8.19,44100,2,https://freesound.org/s/274516/,"ambiente de estadio, candidato para base/air",/Users/eventanilha/Downloads/audio-game/274516__stomachache__stadium-crowd.wav
Freesound,Verificar licença na página individual antes de runtime,stadium_ambience,494360__sandermotions__soccer-stadium-10.wav,assets/sounds/candidates/freesound/494360__sandermotions__soccer-stadium-10.wav,156.30,48000,2,https://freesound.org/s/494360/,"ambiente Sandermotions avulso, duplicado tambem no pack",/Users/eventanilha/Downloads/audio-game/494360__sandermotions__soccer-stadium-10.wav
Freesound,Creative Commons 0 confirmado em 2026-05-17,whistle,218318__splicesound__referee-whistle-blow-gymnasium.wav,assets/sounds/candidates/freesound/218318__splicesound__referee-whistle-blow-gymnasium.wav,3.33,48000,1,https://freesound.org/s/218318/,"apito real, candidato principal ou alternativo",/Users/eventanilha/Downloads/audio-game/218318__splicesound__referee-whistle-blow-gymnasium.wav
Freesound,Creative Commons 0 confirmado em 2026-05-17,whistle,538422__rosa-orenes256__referee-whistle-sound.wav,assets/sounds/candidates/freesound/538422__rosa-orenes256__referee-whistle-sound.wav,0.54,48000,1,https://freesound.org/s/538422/,apito curto leve,/Users/eventanilha/Downloads/audio-game/538422__rosa-orenes256__referee-whistle-sound.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,goal_roar,494352__sandermotions__goal.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494352__sandermotions__goal.wav,14.78,48000,2,https://freesound.org/s/494352/,pack Sandermotions CC0; candidato para gol,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494352__sandermotions__goal.wav
Freesound pack 27815,Creative Commons 0 conforme arquivo,license,_readme_and_license.txt,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/_readme_and_license.txt,,,,https://freesound.org/people/Sandermotions/packs/27815/,licença do pacote Sandermotions,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/_readme_and_license.txt
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494349__sandermotions__soccer-stadium-03.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494349__sandermotions__soccer-stadium-03.wav,35.20,48000,2,https://freesound.org/s/494349/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494349__sandermotions__soccer-stadium-03.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494350__sandermotions__soccer-stadium-02.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494350__sandermotions__soccer-stadium-02.wav,69.00,48000,2,https://freesound.org/s/494350/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494350__sandermotions__soccer-stadium-02.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494351__sandermotions__soccer-stadium-01.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494351__sandermotions__soccer-stadium-01.wav,32.16,48000,2,https://freesound.org/s/494351/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494351__sandermotions__soccer-stadium-01.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494353__sandermotions__soccer-stadium-07.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494353__sandermotions__soccer-stadium-07.wav,47.16,48000,2,https://freesound.org/s/494353/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494353__sandermotions__soccer-stadium-07.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494354__sandermotions__soccer-stadium-06.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494354__sandermotions__soccer-stadium-06.wav,35.49,48000,2,https://freesound.org/s/494354/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494354__sandermotions__soccer-stadium-06.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494355__sandermotions__soccer-stadium-05.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494355__sandermotions__soccer-stadium-05.wav,38.97,48000,2,https://freesound.org/s/494355/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494355__sandermotions__soccer-stadium-05.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494356__sandermotions__soccer-stadium-04.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494356__sandermotions__soccer-stadium-04.wav,16.72,48000,2,https://freesound.org/s/494356/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494356__sandermotions__soccer-stadium-04.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494357__sandermotions__soccer-stadium-09.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494357__sandermotions__soccer-stadium-09.wav,21.32,48000,2,https://freesound.org/s/494357/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494357__sandermotions__soccer-stadium-09.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494358__sandermotions__soccer-stadium-08.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494358__sandermotions__soccer-stadium-08.wav,27.69,48000,2,https://freesound.org/s/494358/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494358__sandermotions__soccer-stadium-08.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494359__sandermotions__soccer-stadium-booohh.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494359__sandermotions__soccer-stadium-booohh.wav,36.43,48000,2,https://freesound.org/s/494359/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494359__sandermotions__soccer-stadium-booohh.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494360__sandermotions__soccer-stadium-10.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494360__sandermotions__soccer-stadium-10.wav,156.30,48000,2,https://freesound.org/s/494360/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494360__sandermotions__soccer-stadium-10.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494361__sandermotions__soccer-stadium-oehh-2.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494361__sandermotions__soccer-stadium-oehh-2.wav,3.98,48000,2,https://freesound.org/s/494361/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494361__sandermotions__soccer-stadium-oehh-2.wav
Freesound pack 27815,Creative Commons 0 conforme _readme_and_license.txt,stadium_ambience,494362__sandermotions__soccer-stadium-oehh.wav,assets/sounds/candidates/freesound/sandermotions_soccer_match_stadium_sounds_pack_27815/494362__sandermotions__soccer-stadium-oehh.wav,9.33,48000,2,https://freesound.org/s/494362/,pack Sandermotions CC0; candidato para ambiente/reacao de estadio,/Users/eventanilha/Downloads/audio-game/27815__sandermotions__soccer-match-stadium-sounds.zip!/494362__sandermotions__soccer-stadium-oehh.wav
Pixabay,Pixabay Content License - verificar pagina original,chant,freesound_community-soccer-fans-vocals-field-recording-with-zoom-h2n-25401.mp3,assets/sounds/candidates/pixabay/freesound_community-soccer-fans-vocals-field-recording-with-zoom-h2n-25401.mp3,18.41,24000,2,https://pixabay.com/sound-effects/soccer-fans-vocals-field-recording-with-zoom-h2n-25401/,"vocais de torcida, candidato para camada chant",/Users/eventanilha/Downloads/audio-game/freesound_community-soccer-fans-vocals-field-recording-with-zoom-h2n-25401.mp3
Pixabay,Pixabay Content License - verificar pagina original,crowd_reaction,djartmusic-powerful-stomps-claps-cheering-sport-rhythmic-applause-317290.mp3,assets/sounds/candidates/pixabay/djartmusic-powerful-stomps-claps-cheering-sport-rhythmic-applause-317290.mp3,7.78,44100,2,https://pixabay.com/sound-effects/powerful-stomps-claps-cheering-sport-rhythmic-applause-317290/,"aplausos ritmicos/torcida, bom para abertura ou ataque",/Users/eventanilha/Downloads/audio-game/djartmusic-powerful-stomps-claps-cheering-sport-rhythmic-applause-317290.mp3
Pixabay,Pixabay Content License confirmado em 2026-05-18,goal_roar,mrmark81-stadium-roar-concert-471943.mp3,assets/sounds/candidates/pixabay/mrmark81-stadium-roar-concert-471943.mp3,26.04,44100,2,https://pixabay.com/sound-effects/people-stadium-roar-concert-471943/,"roar forte, promovido para explosao de gol",/Users/eventanilha/Downloads/audio-game/mrmark81-stadium-roar-concert-471943.mp3
Pixabay,Pixabay Content License confirmado em 2026-05-18,goal_roar,vishiv-crowd-cheering-in-stadium-435357.mp3,assets/sounds/candidates/pixabay/vishiv-crowd-cheering-in-stadium-435357.mp3,30.02,48000,2,https://pixabay.com/sound-effects/people-crowd-cheering-in-stadium-435357/,"cheer forte de estadio, promovido para gol",/Users/eventanilha/Downloads/audio-game/vishiv-crowd-cheering-in-stadium-435357.mp3
Pixabay,Pixabay Content License confirmado em 2026-05-18,net_goal,forza1903-a-football-hits-the-net-goal-313216.mp3,assets/sounds/candidates/pixabay/forza1903-a-football-hits-the-net-goal-313216.mp3,3.08,44100,2,https://pixabay.com/sound-effects/a-football-hits-the-net-goal-313216/,"bola na rede/gol, candidato para impacto final",/Users/eventanilha/Downloads/audio-game/forza1903-a-football-hits-the-net-goal-313216.mp3
Pixabay,Pixabay Content License confirmado em 2026-05-18,opening_music,bombinsound-football-football-soccer-game-music-15-second-490555.mp3,assets/sounds/candidates/pixabay/bombinsound-football-football-soccer-game-music-15-second-490555.mp3,15.05,44100,2,https://pixabay.com/sound-effects/musical-football-football-soccer-game-music-15-second-490555/,musica curta para abertura/splash,/Users/eventanilha/Downloads/audio-game/bombinsound-football-football-soccer-game-music-15-second-490555.mp3
Pixabay,Pixabay Content License - verificar pagina original,stadium_ambience,freesound_community-soccer-stadium-10-6709.mp3,assets/sounds/candidates/pixabay/freesound_community-soccer-stadium-10-6709.mp3,156.36,24000,2,https://pixabay.com/sound-effects/soccer-stadium-10-6709/,"ambiente curto de estadio, candidato para textura",/Users/eventanilha/Downloads/audio-game/freesound_community-soccer-stadium-10-6709.mp3
Pixabay,Pixabay Content License - verificar pagina original,whistle,framptones-referee-whistle-coach-whistle-sports-whistle-291815.mp3,assets/sounds/candidates/pixabay/framptones-referee-whistle-coach-whistle-sports-whistle-291815.mp3,16.51,48000,1,https://pixabay.com/sound-effects/referee-whistle-coach-whistle-sports-whistle-291815/,apito alternativo para kickoff/restart,/Users/eventanilha/Downloads/audio-game/framptones-referee-whistle-coach-whistle-sports-whistle-291815.mp3
